loss : 0.901641, modify_loss : 0.197778
loss : 0.866845, modify_loss : 0.224983
loss : 0.899677, modify_loss : 0.202038
loss : 0.838421, modify_loss : 0.237814
loss : 0.836685, modify_loss : 0.254251
loss : 0.850600, modify_loss : 0.246782
loss : 0.887968, modify_loss : 0.223250
loss : 0.837729, modify_loss : 0.244005
loss : 0.922953, modify_loss : 0.222464
loss : 0.890420, modify_loss : 0.201600
loss : 0.868915, modify_loss : 0.216609
loss : 0.924748, modify_loss : 0.206365
loss : 0.830356, modify_loss : 0.239002
loss : 0.889102, modify_loss : 0.218283
loss : 0.766663, modify_loss : 0.249453
loss : 0.824713, modify_loss : 0.248901
loss : 0.866968, modify_loss : 0.226501
loss : 0.945828, modify_loss : 0.226145
loss : 0.855579, modify_loss : 0.239581
loss : 0.929366, modify_loss : 0.210874
loss : 0.825006, modify_loss : 0.255792
loss : 0.896135, modify_loss : 0.223476
loss : 0.878652, modify_loss : 0.217316
loss : 0.929729, modify_loss : 0.237567
loss : 0.823168, modify_loss : 0.236839
loss : 0.858490, modify_loss : 0.233895
loss : 0.826395, modify_loss : 0.246605
loss : 0.816854, modify_loss : 0.250722
loss : 0.837342, modify_loss : 0.241564
loss : 0.869079, modify_loss : 0.248283
loss : 0.802749, modify_loss : 0.260150
loss : 0.803197, modify_loss : 0.253575
loss : 0.861790, modify_loss : 0.220222
loss : 0.859122, modify_loss : 0.238384
loss : 0.969199, modify_loss : 0.205343
loss : 0.760941, modify_loss : 0.254416
loss : 0.850095, modify_loss : 0.233913
loss : 0.772700, modify_loss : 0.260616
loss : 0.841190, modify_loss : 0.220865
loss : 0.919482, modify_loss : 0.227778
loss : 0.789056, modify_loss : 0.244139
loss : 0.877419, modify_loss : 0.239001
loss : 0.805570, modify_loss : 0.255927
loss : 0.815623, modify_loss : 0.232232
loss : 0.878206, modify_loss : 0.227741
loss : 0.835668, modify_loss : 0.229356
loss : 0.832924, modify_loss : 0.239355
loss : 0.819860, modify_loss : 0.239968
loss : 0.851358, modify_loss : 0.255027
loss : 0.903357, modify_loss : 0.228823
loss : 0.829693, modify_loss : 0.263092
loss : 0.973279, modify_loss : 0.223442
loss : 0.846984, modify_loss : 0.229288
